_time,bad_hall_sequence,bridge_pwm_flag,bus_current,bus_current_flag,bus_voltage,bus_voltage_lower_limit_flag,bus_voltage_upper_limit_flag,config_read_error,current_setpoint,dc_bus_overvoltage,desired_velocity,heat_sink_temp_flag,heatsink_temperature,hw_overcurrent,motor_current_flag,motor_temperature,motor_velocity,phase_a_current,phase_b_current,sw_overcurrent,undervoltage_lockout,vehicle_velocity,velocity_flag,watchdog_reset
2023-09-30T22:36:10Z,0.0,0.0,0.0,0.0,105.258142743792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0330301920573,0.0,0.0,30.1007385253906,0.0,0.279768308003743,0.287810961405436,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:36:20Z,0.0,0.0,0.0,0.0,105.263872146606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9913635253906,0.0,0.0,30.0714416503906,0.0,0.240427255630493,0.331717729568481,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:36:30Z,0.0,0.0,0.0,0.0,105.268686294556,0.0,0.0,0.0,0.002493954673409,0.0,-0.202020202020202,0.0,21.9430236816406,0.0,0.021276595744681,30.0274963378906,0.0,0.281226634979248,0.289648771286011,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:36:40Z,0.0,0.0,3.01261629377093,0.0,104.865123203823,0.0,0.0,0.0,0.548432099242364,0.0,-10.0,0.0,21.8946838378906,0.0,0.978723404255319,30.1153869628906,-3.67693531513214,43.4899133046468,22.8825726509094,0.0,0.0,-0.088560992851853,0.0,0.0
2023-09-30T22:36:50Z,0.0,0.0,3.82874250411987,0.0,104.764884185791,0.0,0.0,0.0,0.568882028943019,0.0,-9.67391304347826,0.0,22.1297098795573,0.0,0.978723404255319,30.0860900878906,-18.0013070106506,31.7645127773285,34.2733080387115,0.0,0.0,-0.433571308851242,0.0,0.0
2023-09-30T22:37:00Z,0.0,0.0,2.46752632988824,0.0,104.841704474555,0.0,0.0,0.0,0.315593458107247,0.0,-8.46153846153846,0.0,22.4070536295573,0.0,0.851063829787234,30.0567932128906,-20.9472039540609,29.3261410395304,27.5171594619751,0.0,0.0,-0.504524836937586,0.0,0.0
2023-09-30T22:37:10Z,0.0,0.0,1.28613048129612,0.0,105.022672017415,0.043478260869565,0.0,0.0,0.291397438433609,0.0,-9.36842105263158,0.0,22.5880432128906,0.0,0.91304347826087,30.2472229003906,-18.8676380157471,23.3165372701792,21.6370578912588,0.0,0.0,-0.454437357187271,0.0,0.0
2023-09-30T22:37:20Z,0.0,0.0,1.24576091766357,0.0,105.109233856201,0.0,0.0,0.0,0.007478993950468,0.0,-0.202020202020202,0.0,,0.0,0.046511627906977,,-14.0933666229248,0.278651714324951,0.294715166091919,0.0,0.0,-0.339446425437927,0.0,0.0
2023-09-30T22:37:30Z,0.0,0.0,0.0,0.0,105.119079589844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6546447753906,0.0,0.0,30.6603088378906,0.0,0.202101469039917,0.321036577224731,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:37:40Z,0.0,0.0,0.0,0.0,105.134605407715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0
2023-09-30T22:37:50Z,0.0,0.0,0.0,0.0,105.174298604329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.204533338546753,0.299492478370667,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:38:00Z,0.0,0.0,0.0,0.0,105.180170694987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4630432128906,0.0,0.0,31.1710510253906,0.0,0.252628326416016,0.327318055289132,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:38:10Z,0.0,0.0,0.0,0.0,105.191609191895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3790588378906,0.0,0.0,31.4586486816406,0.0,0.242580067027699,0.30990947376598,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:38:20Z,0.0,0.0,0.0,0.0,105.164417266846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.275419308589055,0.306924751826695,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:38:30Z,0.0,0.0,0.0,0.0,105.168377685547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2550354003906,0.0,0.0,31.2379455566406,0.0,0.240683555603027,0.303897857666016,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:38:40Z,0.0,0.0,0.0,0.0,105.181188964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2130432128906,0.0,0.0,31.0941467285156,0.0,0.234211574901234,0.316303426569158,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:38:50Z,0.0,0.0,0.0,0.0,105.18748626709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1920471191406,0.0,0.0,31.0831604003906,0.0,0.259343215397426,0.293871334620884,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:39:00Z,0.0,0.0,0.0,0.0,105.179405212402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.23643970489502,0.310783088207245,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:39:10Z,0.0,0.0,0.0,0.0,105.166048916903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0880432128906,0.0,0.0,31.0831604003906,0.0,0.256376266479492,0.307562351226807,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:39:20Z,0.0,0.0,0.0,0.0,105.178456624349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0470275878906,0.0,0.0,31.0831604003906,0.0,0.259426434834798,0.304668744405111,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:39:30Z,0.0,0.0,0.0,0.0,105.197369893392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9947814941406,0.0,0.0,31.2379455566406,0.0,0.252659180585076,0.324769581065458,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:39:40Z,0.0,0.0,0.0,0.0,105.19668168288,0.0,0.0,0.0,0.01424506340134,0.0,-0.337078651685393,0.0,21.957021077474,0.0,0.0,31.3111877441406,0.0,3.29203075832791,3.27677196926541,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:39:50Z,0.0,0.0,5.98471164703369,0.0,104.696732954545,0.0,0.0,0.0,0.626142092581306,0.0,-10.0,0.0,21.9517429896763,0.0,1.0,31.2599182128906,-20.8418925046921,31.3406548066573,33.1482283852317,0.0,0.0,-0.501988368481398,0.0,0.0
2023-09-30T22:40:00Z,0.0,0.0,4.67897590837981,0.0,104.731122468647,0.0,0.0,0.0,0.495567910899638,0.0,-8.69565217391304,0.0,22.2550354003906,0.0,0.833333333333333,31.7472229003906,-49.0366201400757,31.1377711296082,30.4760513305664,0.0,0.0,-1.18107375502586,0.0,0.0
2023-09-30T22:40:10Z,0.0,0.068181818181818,30.2932629903158,0.0,100.948694356283,0.0,0.0,0.0,0.994150311375658,0.0,-10.0,0.0,22.6160380045573,0.0,0.931818181818182,31.9539286295573,-132.807540893555,65.8537826538086,68.0911996023996,0.0,0.0,-3.1987421810627,0.0,0.0
2023-09-30T22:40:20Z,0.0,0.0,4.02760959806896,0.0,104.040232340495,0.0,0.0,0.0,0.059032738357782,0.0,-0.7,0.0,23.2849833170573,0.0,0.061224489795918,32.2058817545573,-123.605316925049,18.231271982193,18.3513152599335,0.0,0.0,-2.97710146903992,0.0,0.0
2023-09-30T22:40:30Z,0.0,0.0,0.0,0.0,104.706955337524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.375966389974,0.0,0.0,32.094716389974,0.0,0.244341577802386,0.270543779645647,0.0,0.0,0.0,0.0,0.0
